WAREHOUSE_NAME,QUERY_DATE,TOTAL_CREDITS_USED,QUERY_COUNT
LOAD_WH,2022-02-04,0.22000,21
LOAD_WH,2022-02-23,0.23000,6
STATS_GEN,2022-02-23,7.38000,769
LOAD_WH,2022-02-24,0.15000,2
LOAD_WH,2022-02-25,0.08000,1
LOAD_WH,2022-04-09,0.20000,1
DEMO_WH,2022-04-28,0.42000,12
DEMO_WH,2022-04-29,0.71000,24
DEMO_WH,2022-05-02,0.11000,9
LOAD_WH,2022-05-17,0.39000,9
STATS_GEN,2022-05-17,2.91000,334
STATS_GEN,2022-05-18,0.39000,28
LOAD_WH,2022-06-30,0.09000,2
LOAD_WH,2022-09-13,0.08000,1
DEMO_WH,2022-09-15,0.31000,5
DEMO_WH,2022-09-16,1.24000,61
STATS_GEN,2022-09-16,0.19000,30
DEMO_WH,2022-09-17,0.50000,50
DEMO_WH,2022-09-19,0.54000,70
STATS_GEN,2022-09-19,0.10000,9
DEMO_WH,2022-09-21,0.10000,1
DEMO_WH,2022-09-22,1.05000,29
VWH_ELT_STANDARD,2022-09-22,0.02000,1
DEMO_WH,2022-09-23,0.18000,3
VWH_ELT_STANDARD,2022-09-23,0.02000,1
DEMO_WH,2022-09-25,2.38000,77
DEMO_WH,2022-09-26,3.52000,123
VWH_DEVELOPER_STANDARD,2022-09-26,0.37000,26
DEMO_WH,2022-09-27,0.58000,13
VWH_DEVELOPER_STANDARD,2022-09-27,0.02000,2
DEMO_WH,2022-10-03,0.81000,19
DEMO_WH,2022-10-04,0.47000,10
STATS_GEN,2022-10-04,0.15000,13
VWH_DEVELOPER_STANDARD,2022-10-04,0.04000,3
DEMO_WH,2022-10-05,0.84000,19
STATS_GEN,2022-10-05,0.02000,1
STATS_GEN,2022-10-06,1.19000,619
DEMO_WH,2022-10-07,0.58000,129
STATS_GEN,2022-10-07,0.07000,38
DEMO_WH,2022-10-10,0.10000,2
DEMO_WH,2022-10-13,0.12000,2
VWH_CONSUMER_STANDARD,2022-10-13,0.08000,1
DEMO_WH,2022-10-17,0.52000,15
DEMO_WH,2022-10-18,0.28000,9
DEMO_WH,2022-10-20,0.23000,10
DEMO_WH,2022-10-25,31.30000,85
STATS_GEN,2022-10-25,0.03000,2
DEMO_WH,2022-10-26,0.98000,27
DEMO_WH,2022-10-27,4.27000,135
DEMO_WH,2022-10-28,1.51000,68
DEMO_WH,2022-10-30,0.52000,32
DEMO_WH,2022-10-31,0.25000,4
DEMO_WH,2022-11-01,0.08000,1
STATS_GEN,2022-11-01,0.06000,3
VWH_DEVELOPER_STANDARD,2022-11-01,0.45000,36
DEMO_WH,2022-11-02,0.30000,2
VWH_DEVELOPER_STANDARD,2022-11-02,0.19000,42
DEMO_WH,2022-11-03,1.35000,17
VWH_DEVELOPER_STANDARD,2022-11-03,0.16000,14
DEMO_WH,2022-11-04,1.56000,35
VWH_DEVELOPER_STANDARD,2022-11-04,0.68000,62
DEMO_WH,2022-11-05,0.75000,17
DEMO_WH,2022-11-06,1.24000,16
DEMO_WH,2022-11-07,2.54000,55
VWH_DEVELOPER_STANDARD,2022-11-07,2.84000,625
DEMO_WH,2022-11-08,0.60000,39
VWH_DEVELOPER_STANDARD,2022-11-08,0.21000,81
VWH_ELT_STANDARD,2022-11-08,0.05000,4
DEMO_WH,2022-11-09,1.16000,30
VWH_DEVELOPER_STANDARD,2022-11-09,0.05000,25
DEMO_WH,2022-11-10,3.17000,1839
DEMO_WH,2022-11-11,4.09000,1876
DEMO_WH,2022-11-12,0.20000,7
DEMO_WH,2022-11-13,7.87000,13269
DEMO_WH,2022-11-14,3.82000,448
STATS_GEN,2022-11-14,0.26000,22
DEMO_WH,2022-11-15,1.49000,10
VWH_DEVELOPER_STANDARD,2022-11-15,0.17000,46
DEMO_WH,2022-11-16,5.21000,42
VWH_DEVELOPER_STANDARD,2022-11-16,0.97000,223
DEMO_WH,2022-11-17,8.00000,184
DEMO_WH,2022-11-18,14.11000,410
STATS_GEN,2022-11-18,0.23000,75
VWH_DEVELOPER_STANDARD,2022-11-18,0.17000,103
DEMO_WH,2022-11-21,0.67000,3
DEMO_WH,2022-11-22,3.81000,29
DEMO_WH,2022-11-23,7.21000,93
DEMO_WH,2022-11-25,2.96000,13
DEMO_WH,2022-11-26,0.85000,6
DEMO_WH,2022-11-27,4.06000,17
DEMO_WH,2022-11-28,4.38000,108
DEMO_WH,2022-11-30,9.25000,247
DEMO_WH,2022-12-04,0.71000,4
DEMO_WH,2022-12-05,3.71000,84
DEMO_WH,2022-12-06,1.55000,47
DEMO_WH,2022-12-07,3.61000,96
DEMO_WH,2022-12-08,0.34000,1
DEMO_WH,2022-12-09,0.37000,1
DEMO_WH,2022-12-12,0.34000,2
DEMO_WH,2022-12-13,11.06000,846
DEMO_WH,2022-12-14,5.22000,550
DEMO_WH,2022-12-16,3.95000,341
DEMO_WH,2022-12-17,0.34000,1
DEMO_WH,2022-12-18,1.11000,9
DEMO_WH,2022-12-21,0.46000,2
DEMO_WH,2022-12-27,0.39000,2
STATS_GEN,2022-12-28,0.44000,77
VWH_CONSUMER_STANDARD,2022-12-28,0.29000,7
STATS_GEN,2023-01-03,0.13000,17
STATS_GEN,2023-01-04,0.18000,103
STATS_GEN,2023-01-05,0.03000,2
DEMO_WH,2023-01-10,1.89000,22
DEMO_WH,2023-01-11,1.67000,8
DEMO_WH,2023-01-12,17.32000,782
DEMO_WH,2023-01-13,1.04000,31
VWH_CONSUMER_STANDARD,2023-01-14,0.10000,5
DEMO_WH,2023-01-16,3.96000,23
DEMO_WH,2023-01-17,6.88000,258
DEMO_WH,2023-01-18,3.52000,27
DEMO_WH,2023-01-19,5.53000,37
DEMO_WH,2023-01-20,5.70000,28
DEMO_WH,2023-01-21,1.15000,6
VWH_CONSUMER_STANDARD,2023-01-25,0.09000,2
DEMO_WH,2023-01-26,7.84000,61
DEMO_WH,2023-01-27,1.25000,158
DEMO_WH,2023-01-30,5.84000,395
DEMO_WH,2023-01-31,1.24000,97
DEMO_WH,2023-02-01,11.61000,135
STATS_GEN,2023-02-02,0.49000,694
DEMO_WH,2023-02-06,4.08000,431
STATS_GEN,2023-02-06,0.09000,99
DEMO_WH,2023-02-07,5.63000,258
STATS_GEN,2023-02-07,0.19000,306
DEMO_WH,2023-02-08,0.53000,3
STATS_GEN,2023-02-08,0.43000,31
STATS_GEN,2023-02-10,0.17000,16
